,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2
0,3,2,5,356.0,-17.761246,-63.180355,690000.0,BARRIO EQUIPETROL,Distrito Municipal 1,835.0,1938.2022471910113
1,3,4,2,150.0,-17.770008,-63.147896,159000.0,Barrio Chino,Distrito 2,150.0,1060.0
3,5,3,2,192.0,-17.698109,-63.173702,128000.0,Barrio Santa Isabel.,Distrito 5,154.0,666.6666666666666
8,5,5,3,387.0,-17.802959,-63.183067,280000.0,Barrio Aeronautico,Distrito Municipal 4Â ,280.0,723.5142118863049
9,5,4,2,266.0,-17.703842,-63.168728,160000.0,Barrio Santa Isabel.,Distrito 5,266.0,601.5037593984962
14,4,5,4,300.0,-17.715044,-63.159649,375000.0,Barrio Santa Isabel.,Distrito 5,464.0,1250.0
15,5,5,3,364.0,-17.754295,-63.18066,290000.0,Barrio el Manchon,Distrito Municipal 1,347.0,796.7032967032967
18,3,3,1,148.65,-17.763136,-63.106064,98000.0,Barrio La Purisima,Distrito 6,240.0,659.2667339387823
22,7,5,3,710.0,-17.769133,-63.17086,490000.0,Barrio Chino,Distrito 2,594.0,690.1408450704225
23,4,3,2,184.0,-17.703732,-63.168705,213600.0,Barrio Santa Isabel.,Distrito 5,238.0,1160.8695652173913
30,5,4,2,196.0,-17.699272,-63.180733,128000.0,Barrio Santa Isabel.,Distrito 5,160.0,653.0612244897959
31,4,4,2,385.0,-17.769739,-63.158424,275000.0,Barrio Chino,Distrito 2,320.0,714.2857142857143
33,4,4,2,151.0,-17.684004,-63.160076,125000.0,Barrio Santa Isabel.,Distrito 5,234.0,827.8145695364238
34,3,5,4,450.0,-17.712879,-63.16214,450000.0,Barrio Santa Isabel.,Distrito 5,427.0,1000.0
37,3,3,2,127.0,-17.710232,-63.172997,118000.0,Barrio Santa Isabel.,Distrito 5,254.0,929.1338582677165
40,3,2,2,157.0,-17.700397,-63.142525,105000.0,Barrio Santa Isabel.,Distrito 5,180.0,668.7898089171974
42,4,5,4,384.0,-17.740711,-63.163136,500000.0,Barrio Santa Isabel.,Distrito 5,480.0,1302.0833333333333
44,3,2,1,140.0,-17.715736,-63.162617,160000.0,Barrio Santa Isabel.,Distrito 5,260.0,1142.857142857143
46,7,7,2,600.0,-17.759588,-63.169617,465000.0,Barrio Chino,Distrito 2,756.0,775.0
47,7,4,5,580.0,-17.808952,-63.153252,418998.0,Barrio Polanco,Distrito Municipal 3,544.0,722.4103448275862
49,5,4,2,353.0,-17.755962,-63.165638,299000.0,Barrio Chino,Distrito 2,267.0,847.0254957507082
50,5,4,2,385.0,-17.792887,-63.197533,260000.0,BARRIO URBARI,Distrito Municipal 4Â ,243.0,675.3246753246754
52,3,3,2,135.0,-17.693026,-63.169579,90000.0,Barrio Santa Isabel.,Distrito 5,178.0,666.6666666666666
54,4,3,2,132.0,-17.709438,-63.159763,99000.0,Barrio Santa Isabel.,Distrito 5,132.0,750.0
55,3,3,3,170.0,-17.716015,-63.139198,168000.0,Barrio Santa Isabel.,Distrito 5,318.0,988.2352941176471
56,4,4,3,300.0,-17.774776,-63.158028,285000.0,Barrio Chino,Distrito 2,384.0,950.0
61,4,5,3,500.0,-17.68981,-63.161343,280000.0,Barrio Santa Isabel.,Distrito 5,320.0,560.0
64,4,6,4,410.0,-17.702757,-63.153378,335000.0,Barrio Santa Isabel.,Distrito 5,450.0,817.0731707317074
65,4,5,2,363.0,-17.766132,-63.201496,495000.0,BARRIO EQUIPETROL,Distrito Municipal 1,280.0,1363.6363636363637
67,4,3,2,480.0,-17.712418,-63.167095,295000.0,Barrio Santa Isabel.,Distrito 5,408.0,614.5833333333334
69,4,3,2,307.0,-17.817822,-63.184364,255000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,301.0,830.6188925081433
70,3,3,2,228.0,-17.739101,-63.178337,285000.0,Barrio Santa Isabel.,Distrito 5,224.0,1250.0
71,3,4,2,207.0,-17.740124,-63.187992,160000.0,Barrio Santa Isabel.,Distrito 5,232.0,772.9468599033817
72,4,7,2,524.0,-17.792269,-63.168575,327075.0,Barrio Lindo,Distrito 11,384.0,624.1889312977099
79,3,3,2,160.0,-17.696196,-63.15395,109000.0,Barrio Santa Isabel.,Distrito 5,252.0,681.25
80,6,6,2,432.0,-17.747164,-63.156128,239000.0,Barrio Santa Isabel.,Distrito 5,453.0,553.2407407407408
83,4,4,3,337.0,-17.702665,-63.153355,285000.0,Barrio Santa Isabel.,Distrito 5,770.0,845.6973293768546
85,4,4,2,420.0,-17.797323,-63.212589,270000.0,BARRIO URBARI,Distrito Municipal 4Â ,240.0,642.8571428571429
86,3,2,2,115.0,-17.754711,-63.064362,62000.0,Barrio San Jorge,Distrito 6,349.0,539.1304347826087
89,4,2,4,280.0,-17.842651,-63.178833,180000.0,Barrio Transportista,Distrito 9Â ,582.0,642.8571428571429
92,4,5,1,386.0,-17.769693,-63.109882,213000.0,Barrio las Pampita,Distrito 6,450.0,551.8134715025907
97,3,4,3,179.0,-17.770327,-63.167564,259900.0,Barrio Chino,Distrito 2,500.0,1451.95530726257
100,3,2,1,233.0,-17.700815,-63.177635,130000.0,Barrio Santa Isabel.,Distrito 5,107.0,557.9399141630902
103,3,5,2,348.0,-17.786076,-63.21619,250000.0,Barrio Irma Suarez,Distrito Municipal 1,210.0,718.3908045977012
105,4,4,2,230.0,-17.698566,-63.158756,135000.0,Barrio Santa Isabel.,Distrito 5,301.0,586.9565217391304
107,3,2,2,120.0,-17.787155,-63.073242,57000.0,Barrio El Condado,Distrito 7,280.0,475.0
109,3,5,2,298.0,-17.820229,-63.222076,225000.0,Barrio el periodista,Distrito 10,301.0,755.0335570469799
110,4,3,4,236.0,-17.70248,-63.165207,175000.0,Barrio Santa Isabel.,Distrito 5,229.0,741.5254237288135
111,4,7,5,500.0,-17.738491,-63.165871,500000.0,Barrio Santa Isabel.,Distrito 5,445.0,1000.0
113,4,4,4,387.0,-17.777121,-63.148037,235000.0,Barrio Chino,Distrito 2,408.0,607.235142118863
115,4,3,4,247.0,-17.702164,-63.17841,145000.0,Barrio Santa Isabel.,Distrito 5,303.0,587.0445344129555
116,3,3,1,208.0,-17.719328,-63.179283,125000.0,Barrio Santa Isabel.,Distrito 5,120.0,600.9615384615385
117,4,3,2,290.0,-17.703453,-63.170101,245000.0,Barrio Santa Isabel.,Distrito 5,290.0,844.8275862068965
118,8,3,5,232.0,-17.8125,-63.143879,105000.0,Barrio San Francisco,Distrito 8,425.0,452.58620689655174
121,4,6,2,397.0,-17.769041,-63.154781,295000.0,Barrio Chino,Distrito 2,330.0,743.0730478589421
123,4,6,4,409.0,-17.757698,-63.198536,580000.0,Barrio el Manchon,Distrito Municipal 1,562.0,1418.0929095354522
126,5,6,2,368.0,-17.807301,-63.210766,620000.0,BARRIO URBARI,Distrito Municipal 4Â ,669.0,1684.7826086956522
128,3,3,2,180.0,-17.695139,-63.169609,125000.0,Barrio Santa Isabel.,Distrito 5,160.0,694.4444444444445
129,4,5,2,313.0,-17.745337,-63.175457,580000.0,Barrio el Manchon,Distrito Municipal 1,550.0,1853.035143769968
133,5,7,2,480.0,-17.748144,-63.175568,590000.0,Barrio el Manchon,Distrito Municipal 1,453.0,1229.1666666666667
134,3,3,2,134.0,-17.819418,-63.233227,128000.0,Barrio los Olivos,Distrito 10,170.0,955.223880597015
140,3,4,2,367.0,-17.721985,-63.16143,239000.0,Barrio Santa Isabel.,Distrito 5,289.0,651.2261580381471
143,3,3,2,168.0,-17.766342,-63.150875,110000.0,Barrio Chino,Distrito 2,150.0,654.7619047619048
145,3,5,1,372.0,-17.715965,-63.167782,290000.0,Barrio Santa Isabel.,Distrito 5,369.0,779.5698924731183
146,4,4,2,222.0,-17.69479,-63.170044,189000.0,Barrio Santa Isabel.,Distrito 5,186.0,851.3513513513514
147,3,4,3,457.0,-17.844065,-63.191402,278000.0,Barrio Saguapac sur,Distrito 9Â ,205.0,608.3150984682713
148,3,4,2,240.0,-17.685719,-63.152317,110900.0,Barrio Santa Isabel.,Distrito 5,180.0,462.0833333333333
149,6,5,2,464.0,-17.796209,-63.206238,271120.0,BARRIO URBARI,Distrito Municipal 4Â ,599.0,584.3103448275862
150,3,4,2,383.0,-17.792549,-63.195148,365000.0,BARRIO URBARI,Distrito Municipal 4Â ,586.0,953.0026109660574
151,3,3,2,120.0,-17.711517,-63.174908,99000.0,Barrio Santa Isabel.,Distrito 5,150.0,825.0
153,5,3,4,225.0,-17.71949,-63.159973,165000.0,Barrio Santa Isabel.,Distrito 5,548.0,733.3333333333334
157,3,4,2,207.0,-17.740124,-63.188122,160000.0,Barrio Santa Isabel.,Distrito 5,232.0,772.9468599033817
162,3,4,2,210.0,-17.709669,-63.167912,135000.0,Barrio Santa Isabel.,Distrito 5,233.0,642.8571428571429
163,6,7,1,410.0,-17.764162,-63.167488,309000.0,Barrio Chino,Distrito 2,229.0,753.6585365853658
164,4,3,2,250.0,-17.703093,-63.180805,164998.0,Barrio Santa Isabel.,Distrito 5,270.0,659.992
165,3,3,2,288.0,-17.735008,-63.165146,280000.0,Barrio Santa Isabel.,Distrito 5,377.0,972.2222222222222
166,5,5,4,571.0,-17.731726,-63.173225,430000.0,Barrio Santa Isabel.,Distrito 5,525.0,753.0647985989492
168,4,4,2,363.0,-17.766531,-63.201412,495000.0,BARRIO EQUIPETROL,Distrito Municipal 1,294.0,1363.6363636363637
169,3,2,2,100.0,-17.787457,-63.107162,65000.0,Barrio El Condado,Distrito 7,374.0,650.0
171,5,4,4,298.0,-17.75355,-63.187775,200000.0,Barrio el Manchon,Distrito Municipal 1,413.0,671.1409395973154
172,5,4,2,245.0,-17.714069,-63.186535,185000.0,Barrio Santa Isabel.,Distrito 5,360.0,755.1020408163265
173,4,3,1,280.0,-17.772804,-63.187225,249000.0,Barrio Panamericano,Distrito 11,222.0,889.2857142857143
174,3,5,2,172.0,-17.718925,-63.17868,165000.0,Barrio Santa Isabel.,Distrito 5,190.0,959.3023255813954
175,5,5,2,400.0,-17.712418,-63.167007,170000.0,Barrio Santa Isabel.,Distrito 5,315.0,425.0
176,3,3,2,197.0,-17.782724,-63.209839,165000.0,Barrio Santa Rosa,Distrito Municipal 1,180.0,837.5634517766498
178,5,4,2,170.0,-17.817701,-63.23061,160000.0,Barrio los Olivos,Distrito 10,160.0,941.1764705882352
179,3,3,2,135.0,-17.692966,-63.169647,90000.0,Barrio Santa Isabel.,Distrito 5,178.0,666.6666666666666
182,5,6,2,633.0,-17.742903,-63.166191,460000.0,Barrio Santa Isabel.,Distrito 5,300.0,726.698262243286
183,3,3,2,127.0,-17.685768,-63.175125,75000.0,Barrio Santa Isabel.,Distrito 5,180.0,590.5511811023622
185,5,4,2,420.0,-17.778105,-63.209949,345300.0,Barrio Santa Rosa,Distrito Municipal 1,360.0,822.1428571428571
188,3,3,2,285.0,-17.72086,-63.157726,305000.0,Barrio Santa Isabel.,Distrito 5,230.0,1070.1754385964912
189,3,3,2,120.0,-17.705931,-63.145359,87500.0,Barrio Santa Isabel.,Distrito 5,180.0,729.1666666666666
190,4,2,2,217.0,-17.846247,-63.159775,100000.0,Barrio Casa Nova II,Distrito 12,360.0,460.8294930875576
191,3,2,2,190.0,-17.707451,-63.165745,180001.0,Barrio Santa Isabel.,Distrito 5,376.0,947.3736842105263
192,4,2,4,285.0,-17.727278,-63.175476,150000.0,Barrio Santa Isabel.,Distrito 5,400.0,526.3157894736842
197,4,3,2,205.0,-17.745035,-63.090946,92000.0,Barrio La Purisima,Distrito 6,183.0,448.780487804878
203,4,4,2,340.0,-17.743801,-63.169903,165000.0,Barrio Santa Isabel.,Distrito 5,245.0,485.29411764705884
204,5,5,5,353.0,-17.763292,-63.20298,350000.0,Barrio el Manchon,Distrito Municipal 1,350.0,991.5014164305949
206,4,7,4,470.0,-17.731152,-63.171944,380000.0,Barrio Santa Isabel.,Distrito 5,380.0,808.5106382978723
208,3,3,2,120.0,-17.705925,-63.145493,87500.0,Barrio Santa Isabel.,Distrito 5,180.0,729.1666666666666
209,3,2,4,139.0,-17.819832,-63.220734,142000.0,Barrio el periodista,Distrito 10,456.0,1021.5827338129496
210,3,4,3,452.0,-17.79253,-63.16906,198000.0,Barrio Lindo,Distrito 11,400.0,438.05309734513276
211,5,5,4,451.0,-17.76347,-63.173439,690000.0,Barrio Chino,Distrito 2,683.0,1529.9334811529934
213,4,5,4,300.0,-17.71513,-63.159481,375000.0,Barrio Santa Isabel.,Distrito 5,464.0,1250.0
214,3,2,2,166.0,-17.762903,-63.081997,70000.0,Barrio San Jorge,Distrito 6,295.0,421.68674698795184
215,3,3,2,120.0,-17.72064,-63.167473,135000.0,Barrio Santa Isabel.,Distrito 5,120.0,1125.0
216,3,2,2,120.0,-17.864836,-63.150616,59900.0,Barrio 25 De Junio,Distrito 12,180.0,499.1666666666667
222,6,3,2,290.0,-17.786379,-63.202091,280000.0,Barrio Santa Rosa,Distrito Municipal 1,330.0,965.5172413793103
223,3,3,3,421.0,-17.708723,-63.168297,170000.0,Barrio Santa Isabel.,Distrito 5,421.0,403.80047505938245
224,4,2,0,202.0,-17.784061,-63.172977,249000.0,Barrio Lindo,Distrito 11,307.0,1232.6732673267327
225,4,3,2,160.0,-17.684361,-63.17852,99856.32,Barrio Santa Isabel.,Distrito 5,160.0,624.1020000000001
226,3,4,2,234.0,-17.722637,-63.167675,320000.0,Barrio Santa Isabel.,Distrito 5,325.0,1367.5213675213674
227,3,4,2,282.0,-17.799746,-63.197662,350000.0,BARRIO URBARI,Distrito Municipal 4Â ,288.0,1241.1347517730496
232,3,3,2,140.0,-17.703089,-63.185368,109000.0,Barrio Santa Isabel.,Distrito 5,160.0,778.5714285714286
233,4,4,2,260.0,-17.77277,-63.201511,360000.0,BARRIO EQUIPETROL,Distrito Municipal 1,208.0,1384.6153846153845
235,3,3,2,304.38,-17.722162,-63.152637,110000.0,Barrio Santa Isabel.,Distrito 5,240.0,361.39036730402785
236,3,3,2,127.0,-17.685781,-63.175091,75000.0,Barrio Santa Isabel.,Distrito 5,180.0,590.5511811023622
237,5,5,4,624.0,-17.817238,-63.215042,470000.0,Barrio California,Distrito 10,622.0,753.2051282051282
238,4,3,2,185.0,-17.694061,-63.169579,125000.0,Barrio Santa Isabel.,Distrito 5,160.0,675.6756756756756
239,3,3,2,300.0,-17.771606,-63.199581,170000.0,BARRIO EQUIPETROL,Distrito Municipal 1,190.0,566.6666666666666
242,3,3,2,208.0,-17.770006,-63.102448,100000.0,Barrio las Pampita,Distrito 6,489.0,480.7692307692308
244,8,5,2,476.0,-17.785675,-63.173374,528000.0,Barrio Lindo,Distrito 11,392.0,1109.2436974789916
245,4,4,3,270.0,-17.798571,-63.220657,244000.0,Barrio Irma Suarez,Distrito Municipal 1,315.0,903.7037037037037
247,4,6,3,337.0,-17.716354,-63.149437,265000.0,Barrio Santa Isabel.,Distrito 5,248.0,786.3501483679526
252,3,3,2,154.0,-17.759413,-63.091206,86000.0,Barrio San Jorge,Distrito 6,300.0,558.4415584415584
253,5,3,0,268.0,-17.784372,-63.175274,198000.0,Barrio Lindo,Distrito 11,220.0,738.8059701492538
254,4,6,2,473.0,-17.748318,-63.175312,585000.0,Barrio el Manchon,Distrito Municipal 1,486.0,1236.7864693446088
255,3,3,2,210.0,-17.689646,-63.147957,135000.0,Barrio Santa Isabel.,Distrito 5,206.0,642.8571428571429
257,3,3,2,205.0,-17.707022,-63.163662,138000.0,Barrio Santa Isabel.,Distrito 5,360.0,673.170731707317
258,4,4,2,204.0,-17.7138,-63.172226,240000.0,Barrio Santa Isabel.,Distrito 5,204.0,1176.4705882352941
260,5,5,2,398.0,-17.710201,-63.16922,170000.0,Barrio Santa Isabel.,Distrito 5,315.0,427.1356783919598
263,5,5,4,450.0,-17.764606,-63.174313,690000.0,Barrio Chino,Distrito 2,683.0,1533.3333333333333
264,4,5,3,410.0,-17.703669,-63.152931,355000.0,Barrio Santa Isabel.,Distrito 5,450.0,865.8536585365854
265,3,4,2,300.0,-17.716089,-63.168228,239500.0,Barrio Santa Isabel.,Distrito 5,300.0,798.3333333333334
266,4,4,2,288.0,-17.735065,-63.165272,280000.0,Barrio Santa Isabel.,Distrito 5,377.0,972.2222222222222
267,3,2,2,115.0,-17.689186,-63.155041,92000.0,Barrio Santa Isabel.,Distrito 5,220.0,800.0
268,3,2,3,173.0,-17.746183,-63.160915,175000.0,Barrio Santa Isabel.,Distrito 5,420.0,1011.5606936416185
269,3,2,3,138.0,-17.684092,-63.152744,105000.0,Barrio Santa Isabel.,Distrito 5,224.0,760.8695652173913
276,3,2,2,126.0,-17.761087,-63.10873,94000.0,Barrio La Purisima,Distrito 6,360.0,746.031746031746
278,6,6,2,467.0,-17.776964,-63.167072,360000.0,Barrio Lindo,Distrito 11,838.0,770.8779443254818
281,3,2,2,185.0,-17.795872,-63.064953,95000.0,Barrio El Condado,Distrito 7,315.0,513.5135135135135
283,4,4,2,323.0,-17.714401,-63.165092,265000.0,Barrio Santa Isabel.,Distrito 5,456.0,820.4334365325077
284,3,2,2,115.0,-17.708166,-63.188038,99900.0,Barrio Santa Isabel.,Distrito 5,187.0,868.695652173913
288,3,3,3,303.0,-17.740461,-63.16304,390000.0,Barrio Santa Isabel.,Distrito 5,359.0,1287.1287128712872
289,3,3,2,222.0,-17.722771,-63.167503,325000.0,Barrio Santa Isabel.,Distrito 5,205.0,1463.963963963964
294,5,6,3,400.0,-17.817247,-63.210716,255000.0,Barrio Flamingo,Distrito 10,556.0,637.5
295,3,3,2,255.0,-17.768335,-63.204365,240000.0,BARRIO EQUIPETROL,Distrito Municipal 1,255.0,941.1764705882352
299,4,6,3,457.0,-17.761988,-63.177395,360000.0,Barrio Chino,Distrito 2,762.0,787.746170678337
301,4,3,2,191.0,-17.733637,-63.156452,168900.0,Barrio Santa Isabel.,Distrito 5,204.0,884.2931937172775
303,3,3,2,150.0,-17.700439,-63.162418,179700.0,Barrio Santa Isabel.,Distrito 5,183.0,1198.0
304,4,5,2,185.0,-17.770317,-63.168297,149900.0,Barrio Chino,Distrito 2,165.0,810.2702702702703
305,4,3,4,364.0,-17.754082,-63.171646,1330000.0,Barrio Chino,Distrito 2,263.0,3653.846153846154
307,5,4,4,660.0,-17.797558,-63.211723,250000.0,BARRIO URBARI,Distrito Municipal 4Â ,402.0,378.7878787878788
308,3,3,2,161.0,-17.722761,-63.155682,155000.0,Barrio Santa Isabel.,Distrito 5,150.0,962.7329192546584
309,4,6,3,479.0,-17.803791,-63.169197,498000.0,Barrio Polanco,Distrito Municipal 3,537.0,1039.6659707724425
310,6,7,4,659.0,-17.770924,-63.162098,480000.0,Barrio Chino,Distrito 2,627.0,728.3763277693475
312,4,2,2,122.0,-17.706579,-63.146736,85000.0,Barrio Santa Isabel.,Distrito 5,180.0,696.7213114754098
313,3,2,2,222.0,-17.747396,-63.180855,160000.0,Barrio el Manchon,Distrito Municipal 1,167.0,720.7207207207207
315,3,3,2,166.0,-17.703362,-63.153854,120000.0,Barrio Santa Isabel.,Distrito 5,310.0,722.8915662650602
316,3,3,2,168.0,-17.717548,-63.148384,159000.0,Barrio Santa Isabel.,Distrito 5,261.0,946.4285714285714
318,3,2,2,115.0,-17.707949,-63.188038,99900.0,Barrio Santa Isabel.,Distrito 5,187.0,868.695652173913
319,8,3,2,325.0,-17.737192,-63.161045,350000.0,Barrio Santa Isabel.,Distrito 5,250.0,1076.923076923077
320,3,4,1,208.0,-17.72102,-63.181274,125000.0,Barrio Santa Isabel.,Distrito 5,208.0,600.9615384615385
321,4,4,3,265.0,-17.700665,-63.163105,279600.0,Barrio Santa Isabel.,Distrito 5,225.0,1055.0943396226414
323,3,2,2,120.0,-17.717978,-63.148041,97500.0,Barrio Santa Isabel.,Distrito 5,180.0,812.5
324,4,5,2,409.0,-17.762482,-63.19981,550000.0,Barrio el Manchon,Distrito Municipal 1,562.0,1344.7432762836186
325,3,3,2,189.0,-17.744076,-63.095726,89000.0,Barrio La Purisima,Distrito 6,183.0,470.8994708994709
326,1,2,0,531.0,-17.746132,-63.188206,280000.0,Barrio el Manchon,Distrito Municipal 1,363.0,527.3069679849341
