,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2
957,2,1,0,360.3,-17.72961342,-63.14759005,162000.0,Barrio Santa Isabel.,Distrito 5,360.3,449.62531223980017
958,7,5,0,310.0,-17.831506,-63.211534,160344.83,Barrio 27 de mayo,Distrito 10,300.0,517.2413870967741
960,7,5,1,293.0,-17.767792,-63.159741,160000.0,Barrio Chino,Distrito 2,270.0,546.0750853242321
961,3,1,0,145.0,-17.75003,-63.171687,160000.0,Barrio Santa Isabel.,Distrito 5,158.61,1103.448275862069
962,8,2,0,286.0,-17.784855,-63.161601,160000.0,Barrio Chino,Distrito 2,222.61,559.4405594405595
964,3,2,0,220.0,-17.80591458,-63.1356275,159482.76,Barrio 5 de Noviembre,Distrito 7,360.0,724.9216363636364
965,3,4,0,250.0,-17.808943,-63.155435,159770.11,Barrio Polanco,Distrito Municipal 3,200.0,639.08044
968,4,2,0,150.0,-17.755962,-63.157482,155000.0,Barrio Chino,Distrito 2,300.0,1033.3333333333333
970,3,2,0,256.0,-17.773719,-63.110983,155000.0,Barrio las Pampita,Distrito 6,104.0,605.46875
971,4,3,2,215.0,-17.702454,-63.166752,155000.0,Barrio Santa Isabel.,Distrito 5,238.0,720.9302325581396
972,2,2,0,200.0,-17.690479,-63.170183,155000.0,Barrio Santa Isabel.,Distrito 5,400.0,775.0
973,7,5,0,329.0,-17.805164,-63.134179,155000.0,Barrio 5 de Noviembre,Distrito 7,330.0,471.1246200607903
975,3,3,0,180.0,-17.731298,-63.152447,155000.0,Barrio Santa Isabel.,Distrito 5,210.0,861.1111111111111
976,4,2,0,194.0,-17.74885,-63.191493,155000.0,Barrio el Manchon,Distrito Municipal 1,300.0,798.9690721649484
977,5,4,0,185.0,-17.81483964,-63.22696477,153017.24,Barrio el periodista,Distrito 10,359.0,827.1202162162161
982,5,3,0,306.0,-17.761892,-63.114248,150000.0,Barrio las Pampita,Distrito 6,356.0,490.19607843137254
983,5,3,0,260.0,-17.854842,-63.173318,150000.0,Barrio Palma Real,Distrito 12,278.52,576.9230769230769
985,1,1,2,240.0,-17.734062,-63.175001,148000.0,Barrio Santa Isabel.,Distrito 5,298.0,616.6666666666666
989,3,2,4,265.0,-17.79212,-63.209962,145000.0,Barrio Irma Suarez,Distrito Municipal 1,329.0,547.1698113207547
990,3,2,0,245.1,-17.791128,-63.089611,145000.0,Barrio El Condado,Distrito 7,450.0,591.5952672378621
991,4,5,0,480.0,-17.715086,-63.169327,145000.0,Barrio Santa Isabel.,Distrito 5,249.0,302.0833333333333
992,6,2,0,200.0,-17.792313,-63.110511,145000.0,Barrio El Condado,Distrito 7,468.0,725.0
993,4,3,0,262.0,-17.75475,-63.092833,145000.0,Barrio La Purisima,Distrito 6,300.0,553.4351145038167
996,4,4,0,279.69,-17.802776,-63.153609,140804.6,Barrio Polanco,Distrito Municipal 3,239.72,503.4309413994065
997,3,3,1,200.0,-17.777373,-63.166485,143000.0,Barrio Lindo,Distrito 11,216.0,715.0
998,5,4,0,250.0,-17.736603,-63.151996,140000.0,Barrio Santa Isabel.,Distrito 5,350.0,560.0
999,8,3,0,319.0,-17.8224881,-63.2204176,140804.6,Barrio el periodista,Distrito 10,600.0,441.39373040752355
1000,3,3,0,184.89,-17.755595,-63.186115,140000.0,Barrio el Manchon,Distrito Municipal 1,182.0,757.2069879387744
1001,5,4,0,241.0,-17.727795,-63.172434,139000.0,Barrio Santa Isabel.,Distrito 5,372.0,576.7634854771784
1002,5,2,0,250.0,-17.785591,-63.165372,139000.0,Barrio Lindo,Distrito 11,180.0,556.0
1004,5,3,0,224.0,-17.697733,-63.181045,139000.0,Barrio Santa Isabel.,Distrito 5,152.38,620.5357142857143
1006,4,5,0,259.0,-17.776793,-63.121918,138000.0,Barrio las Pampita,Distrito 6,251.0,532.8185328185328
1011,7,4,0,332.0,-17.787869054632,-63.114641904831,130747.13,Barrio El Condado,Distrito 7,416.97,393.816656626506
1014,5,5,2,218.91,-17.7945706,-63.0870688,130747.13,Barrio El Condado,Distrito 7,280.0,597.2643095335983
1015,5,1,0,174.0,-17.800107,-63.148727,130000.0,Barrio Los Penocos,Distrito Municipal 3,186.0,747.1264367816092
1017,6,6,2,100.0,-17.80201692,-63.10062334,130000.0,Barrio El Condado,Distrito 7,610.0,1300.0
1018,7,3,0,250.0,-17.84757,-63.170124,129000.0,Barrio Militar Nuevo Amanecer,Distrito 12,600.0,516.0
1020,3,3,0,150.0,-17.777806,-63.157075,130000.0,Barrio Chino,Distrito 2,161.0,866.6666666666666
1021,8,3,2,394.5,-17.7983222,-63.14589393,130000.0,Barrio Los Penocos,Distrito Municipal 3,255.0,329.531051964512
1022,3,3,0,190.0,-17.734338,-63.153309,130000.0,Barrio Santa Isabel.,Distrito 5,190.96,684.2105263157895
1023,3,3,0,160.0,-17.70307,-63.18171,129500.0,Barrio Santa Isabel.,Distrito 5,300.0,809.375
1024,4,2,0,150.0,-17.793596,-63.137159,129000.0,Barrio 5 de Noviembre,Distrito 7,280.0,860.0
1026,4,3,0,185.0,-17.80404015,-63.10785092,128735.63,Barrio 5 de Noviembre,Distrito 7,450.0,695.8682702702703
1027,3,2,0,236.0,-17.817452,-63.224795,128000.0,Barrio el periodista,Distrito 10,360.0,542.3728813559322
1028,4,2,0,210.0,-17.86942,-63.192643,128000.0,Barrio las americas,Distrito 9Â ,254.0,609.5238095238095
1030,3,2,0,174.0,-17.8263279,-63.22134067,126436.78,Barrio 27 de mayo,Distrito 10,234.0,726.6481609195403
1033,3,3,2,177.5,-17.721095,-63.152976,125718.39,Barrio Santa Isabel.,Distrito 5,156.87,708.2726197183099
1034,3,3,0,210.0,-17.838167,-63.189063,125718.39,Barrio Saguapac sur,Distrito 9Â ,240.0,598.659
1035,3,2,2,143.0,-17.710573,-63.164147,125718.39,Barrio Santa Isabel.,Distrito 5,210.0,879.1495804195804
1036,4,3,0,171.61,-17.77080763,-63.10936343,125718.39,Barrio las Pampita,Distrito 6,360.0,732.5819590932929
1039,3,3,0,188.0,-17.71498803,-63.1788436,125000.0,Barrio Santa Isabel.,Distrito 5,160.0,664.8936170212766
1040,3,2,0,145.0,-17.706272,-63.129016,125000.0,Barrio Santa Isabel.,Distrito 5,200.0,862.0689655172414
1046,3,2,2,175.0,-17.827865,-63.174799,123706.9,Barrio Transportista,Distrito 9Â ,184.02,706.8965714285714
1049,5,3,0,195.0,-17.84634342,-63.19331525,120689.66,Barrio Guadalupe,Distrito 9Â ,210.0,618.9213333333333
1051,3,2,0,170.0,-17.69003837,-63.15312614,120689.66,Barrio Santa Isabel.,Distrito 5,170.0,709.9391764705882
1053,3,2,0,194.0,-17.710998,-63.172202,120000.0,Barrio Santa Isabel.,Distrito 5,250.0,618.5567010309278
1054,5,2,0,281.2,-17.850329,-63.191986,120000.0,Barrio Guadalupe,Distrito 9Â ,360.0,426.7425320056899
1055,3,2,1,151.0,-17.695129,-63.141329,120000.0,Barrio Santa Isabel.,Distrito 5,220.0,794.7019867549669
1057,4,1,2,150.0,-17.727432,-63.150058,120000.0,Barrio Santa Isabel.,Distrito 5,385.0,800.0
1058,3,3,0,124.25,-17.716457,-63.169524,120000.0,Barrio Santa Isabel.,Distrito 5,300.0,965.7947686116701
1059,3,2,0,150.0,-17.703146,-63.180787,118000.0,Barrio Santa Isabel.,Distrito 5,188.0,786.6666666666666
1060,3,2,0,184.0,-17.843188,-63.185224,117000.0,Barrio Guadalupe,Distrito 9Â ,394.0,635.8695652173913
1062,3,3,0,179.15,-17.850429,-63.184254,116000.0,Barrio Guadalupe,Distrito 9Â ,444.15,647.5020932179738
1063,4,3,0,200.0,-17.843411,-63.183083,115660.92,Barrio Guadalupe,Distrito 9Â ,245.0,578.3045999999999
1064,2,1,3,116.0,-17.8177005,-63.1407842,115165.23,Barrio San Francisco,Distrito 8,300.0,992.8037068965517
1065,3,2,0,155.0,-17.756166,-63.127313,115000.0,Barrio las Pampita,Distrito 6,360.0,741.9354838709677
1066,3,3,0,185.0,-17.700992,-63.174771,115000.0,Barrio Santa Isabel.,Distrito 5,150.0,621.6216216216217
1067,3,3,0,348.0,-17.764872,-63.10401,115000.0,Barrio La Purisima,Distrito 6,360.0,330.4597701149425
1068,3,3,0,185.0,-17.700185,-63.174745,115000.0,Barrio Santa Isabel.,Distrito 5,150.0,621.6216216216217
1070,3,2,3,253.0,-17.8392671,-63.19336912,113000.0,Barrio Saguapac sur,Distrito 9Â ,268.04,446.6403162055336
1071,4,4,2,244.0,-17.756865,-63.089881,108620.69,Barrio San Jorge,Distrito 6,310.0,445.166762295082
1072,3,2,0,253.43,-17.767957,-63.109975,108500.0,Barrio las Pampita,Distrito 6,375.56,428.12610977390204
1073,3,3,2,110.0,-17.701448116242,-63.167272629216,107758.62,Barrio Santa Isabel.,Distrito 5,150.0,979.6238181818181
1076,3,3,2,170.0,-17.723049,-63.183784,107000.0,Barrio Santa Isabel.,Distrito 5,150.0,629.4117647058823
1077,4,4,0,220.0,-17.785753,-63.109463,107758.62,Barrio El Condado,Distrito 7,300.0,489.81190909090907
1079,4,3,0,236.0,-17.75326467,-63.12813344,105603.45,Barrio las Pampita,Distrito 6,150.0,447.47224576271185
1080,5,2,0,368.0,-17.82043,-63.18984,229000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,368.0,622.2826086956521
1081,6,3,0,299.0,-17.800782,-63.142676,250000.0,Barrio Los Penocos,Distrito Municipal 3,360.0,836.1204013377926
1082,3,2,2,150.0,-17.722706,-63.183816,95000.0,Barrio Santa Isabel.,Distrito 5,150.0,633.3333333333334
1084,4,5,0,583.0,-17.7506613,-63.1760149,1005747.13,Barrio el Manchon,Distrito Municipal 1,500.0,1725.1237221269296
1085,4,3,0,243.0,-17.776866,-63.158233,241379.31,Barrio Chino,Distrito 2,241.47,993.3304938271605
1086,6,4,0,300.0,-17.78559089,-63.16544756,245000.0,Barrio Lindo,Distrito 11,410.0,816.6666666666666
1088,7,4,0,147.0,-17.723124,-63.154171,240000.0,Barrio Santa Isabel.,Distrito 5,302.62,1632.6530612244899
1089,4,4,3,160.0,-17.752554,-63.166794,240000.0,Barrio Chino,Distrito 2,311.0,1500.0
1092,4,4,0,381.0,-17.78097725,-63.146442,245000.0,Barrio Guaracachi,Distrito 6,381.54,643.0446194225722
1093,4,5,2,217.0,-17.710088,-63.169659,163000.0,Barrio Santa Isabel.,Distrito 5,158.0,751.1520737327189
1094,3,4,2,390.0,-17.689851,-63.161322,249000.0,Barrio Santa Isabel.,Distrito 5,475.0,638.4615384615385
1095,4,4,0,450.0,-17.784792,-63.219109,380000.0,Barrio Irma Suarez,Distrito Municipal 1,362.81,844.4444444444445
1096,3,2,2,100.0,-17.72771773,-63.17411954,140000.0,Barrio Santa Isabel.,Distrito 5,310.0,1400.0
1097,3,2,0,170.0,-17.798072,-63.1925079,125000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,316.0,735.2941176470588
1098,3,3,0,176.0,-17.72117722,-63.15631624,98000.0,Barrio Santa Isabel.,Distrito 5,225.0,556.8181818181819
1099,3,2,0,135.0,-17.692325,-63.169595,90517.24,Barrio Santa Isabel.,Distrito 5,178.0,670.4980740740741
1101,4,3,3,220.0,-17.719697,-63.183009,115000.0,Barrio Santa Isabel.,Distrito 5,186.0,522.7272727272727
1102,4,2,2,205.0,-17.725519,-63.182515,135000.0,Barrio Santa Isabel.,Distrito 5,198.65,658.5365853658536
1105,3,3,2,165.0,-17.71921502,-63.14735466,87000.0,Barrio Santa Isabel.,Distrito 5,150.16,527.2727272727273
1108,3,3,0,108.0,-17.702086,-63.145938,75107.76,Barrio Santa Isabel.,Distrito 5,253.0,695.4422222222222
1113,6,7,0,925.0,-17.747777,-63.177361,1290000.0,Barrio el Manchon,Distrito Municipal 1,700.0,1394.5945945945946
1116,3,2,0,550.0,-17.800075,-63.194506,890000.0,BARRIO URBARI,Distrito Municipal 4Â ,572.0,1618.1818181818182
1118,5,4,0,120.0,-17.775538,-63.190098,750000.0,Barrio Panamericano,Distrito 11,951.0,6250.0
1119,5,8,0,632.83,-17.722797,-63.168717,775862.07,Barrio Santa Isabel.,Distrito 5,410.74,1226.0197367381443
1121,4,3,2,471.0,-17.771949,-63.177598,560000.0,Barrio Panamericano,Distrito 11,798.0,1188.95966029724
1122,4,6,4,518.0,-17.7226434,-63.1676779,640000.0,Barrio Santa Isabel.,Distrito 5,612.0,1235.5212355212354
1123,4,4,2,470.63,-17.771605,-63.17762,560000.0,Barrio Panamericano,Distrito 11,797.7,1189.8943968722776
1124,4,4,0,350.0,-17.797416,-63.214999,490000.0,BARRIO URBARI,Distrito Municipal 4Â ,578.56,1400.0
1127,5,5,0,480.0,-17.746925,-63.175687,590000.0,Barrio el Manchon,Distrito Municipal 1,453.53,1229.1666666666667
1128,5,3,2,300.0,-17.765766,-63.204941,450000.0,Barrio el Manchon,Distrito Municipal 1,400.0,1500.0
1129,3,4,0,290.0,-17.73094,-63.171896,416666.67,Barrio Santa Isabel.,Distrito 5,436.45,1436.781620689655
1130,2,1,0,299.53,-17.757253,-63.192691,408000.0,Barrio el Manchon,Distrito Municipal 1,500.0,1362.13400994892
1131,6,2,0,191.0,-17.793213,-63.192293,450000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,203.0,2356.020942408377
1132,4,7,6,543.0,-17.802483,-63.168846,450000.0,Barrio Polanco,Distrito Municipal 3,507.0,828.7292817679559
1133,3,2,0,244.0,-17.747113,-63.151903,460000.0,Barrio Santa Isabel.,Distrito 5,979.21,1885.2459016393443
1134,3,5,0,400.0,-17.74468108,-63.16127114,431034.48,Barrio Santa Isabel.,Distrito 5,480.0,1077.5862
1135,5,4,3,200.0,-17.782158,-63.195076,420000.0,Barrio Santa Rosa,Distrito Municipal 1,406.0,2100.0
1137,6,2,0,200.0,-17.73670033,-63.1716551,402298.85,Barrio Santa Isabel.,Distrito 5,708.0,2011.49425
1138,5,5,0,313.0,-17.77296,-63.16355,400862.07,Barrio Chino,Distrito 2,489.0,1280.7094888178915
1140,4,2,0,451.0,-17.77978296,-63.17378461,399281.61,Barrio Lindo,Distrito 11,504.0,885.3250776053214
1141,6,3,2,493.0,-17.77069524,-63.19087132,397270.11,BARRIO EQUIPETROL,Distrito Municipal 1,414.2,805.821724137931
1142,4,3,4,406.0,-17.733875,-63.161976,390000.0,Barrio Santa Isabel.,Distrito 5,480.0,960.5911330049261
1144,4,5,0,441.0,-17.774235,-63.190825,375000.0,Barrio Panamericano,Distrito 11,364.0,850.3401360544218
1145,5,5,0,540.0,-17.80066916,-63.17209596,371264.37,Barrio Polanco,Distrito Municipal 3,601.0,687.5266111111112
1146,4,3,0,299.25,-17.745653,-63.164005,370000.0,Barrio Santa Isabel.,Distrito 5,360.0,1236.4243943191311
1147,4,4,0,304.9,-17.788724,-63.215103,366379.31,Barrio Irma Suarez,Distrito Municipal 1,557.16,1201.6376188914398
1148,4,3,0,386.09,-17.792352,-63.195173,365524.43,BARRIO URBARI,Distrito Municipal 4Â ,586.95,946.7337408376286
1149,6,6,0,467.0,-17.77721191,-63.16701069,362068.97,Barrio Lindo,Distrito 11,838.86,775.3082869379015
1151,4,4,2,399.0,-17.784692,-63.166902,344827.59,Barrio Lindo,Distrito 11,222.0,864.2295488721805
1152,3,2,0,245.0,-17.774884,-63.187094,333333.33,Barrio Panamericano,Distrito 11,319.0,1360.5442040816326
1153,3,3,0,200.0,-17.788799,-63.176644,330000.0,Barrio Lindo,Distrito 11,668.0,1650.0
1154,4,6,0,524.84,-17.791996,-63.168705,327075.0,Barrio Lindo,Distrito 11,384.0,623.1899245484337
1155,3,6,0,327.0,-17.82072048,-63.17394912,326580.46,Barrio Guaracal,Distrito Municipal 4Â ,594.75,998.7170030581041
1156,5,5,0,376.0,-17.797405,-63.205222,323275.86,BARRIO URBARI,Distrito Municipal 4Â ,366.8,859.7762234042552
1160,3,4,0,200.0,-17.816606,-63.181219,316810.34,BARRIO VICTORIA,Distrito Municipal 4Â ,478.71,1584.0517000000002
1162,2,4,3,306.0,-17.76043969,-63.15187234,316091.95,Barrio Chino,Distrito 2,306.0,1032.98022875817
1165,6,6,0,210.0,-17.76409,-63.167492,309000.0,Barrio Chino,Distrito 2,229.33,1471.4285714285713
1167,6,6,0,405.0,-17.724151,-63.166446,306752.87,Barrio Santa Isabel.,Distrito 5,390.0,757.4144938271605
1168,4,3,0,392.0,-17.731004,-63.172586,305000.0,Barrio Santa Isabel.,Distrito 5,311.0,778.0612244897959
1169,3,4,0,312.08,-17.742086,-63.160915,303448.28,Barrio Santa Isabel.,Distrito 5,336.38,972.3413227377597
1171,3,4,2,280.0,-17.81975,-63.188038,300287.36,BARRIO VICTORIA,Distrito Municipal 4Â ,240.0,1072.454857142857
1172,7,2,0,240.0,-17.732347,-63.142076,300000.0,Barrio Santa Isabel.,Distrito 5,495.0,1250.0
1175,6,6,3,578.0,-17.814579,-63.15317,295000.0,Barrio SoberanÃ­a Nacional,Distrito Municipal 3,418.0,510.38062283737025
1176,6,5,0,300.0,-17.730149,-63.169127,280000.0,Barrio Santa Isabel.,Distrito 5,264.0,933.3333333333334
1177,4,3,4,159.0,-17.79474425,-63.16278216,287356.32,Barrio Los Penocos,Distrito Municipal 3,360.0,1807.2724528301887
1179,8,6,0,454.75,-17.786939,-63.179131,290000.0,Barrio Lindo,Distrito 11,411.06,637.7130291368884
1180,4,4,0,266.0,-17.797384,-63.20567,290000.0,BARRIO URBARI,Distrito Municipal 4Â ,360.0,1090.2255639097743
1181,5,6,0,397.0,-17.76825,-63.155232,295000.0,Barrio Chino,Distrito 2,330.0,743.0730478589421
1182,4,3,0,218.0,-17.822168,-63.182013,280000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,445.0,1284.4036697247707
1183,6,4,0,337.0,-17.772847168595,-63.157569277094,281609.2,Barrio Chino,Distrito 2,346.0,835.6356083086054
1184,5,4,0,200.0,-17.7794756,-63.1673298,280000.0,Barrio Lindo,Distrito 11,394.54,1400.0
1185,5,4,0,477.66,-17.731685,-63.17191,280000.0,Barrio Santa Isabel.,Distrito 5,465.96,586.191014529163
1186,4,3,1,141.0,-17.76182674,-63.18763027,278017.24,BARRIO EQUIPETROL,Distrito Municipal 1,266.0,1971.7534751773048
1189,5,3,2,471.34,-17.776775,-63.176151,266522.99,Barrio Lindo,Distrito 11,286.0,565.4580345398226
1190,7,5,0,346.0,-17.83512,-63.189053,265000.0,Barrio Saguapac sur,Distrito 9Â ,543.97,765.8959537572255
1191,4,4,0,323.0,-17.713042,-63.164971,265000.0,Barrio Santa Isabel.,Distrito 5,456.0,820.4334365325077
1194,3,3,2,290.0,-17.771974,-63.151902,260000.0,Barrio Chino,Distrito 2,366.75,896.551724137931
1195,5,3,0,437.0,-17.733925,-63.147089,260000.0,Barrio Santa Isabel.,Distrito 5,840.0,594.9656750572083
1196,6,4,2,404.15,-17.746929,-63.155916,239000.0,Barrio Santa Isabel.,Distrito 5,432.0,591.3645923543239
1197,4,6,0,272.0,-17.754082,-63.183757,230000.0,Barrio el Manchon,Distrito Municipal 1,228.81,845.5882352941177
1198,4,4,2,300.0,-17.730853,-63.154682,258620.69,Barrio Santa Isabel.,Distrito 5,475.0,862.0689666666667
1199,6,5,4,324.53,-17.813435,-63.207558,230000.0,Barrio Flamingo,Distrito 10,541.14,708.7172218284904
1201,4,4,5,300.0,-17.79880999,-63.18481926,235000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,308.7,783.3333333333334
1202,3,4,3,245.0,-17.82652,-63.17934,230000.0,Barrio Transportista,Distrito 9Â ,531.0,938.7755102040817
1203,6,5,0,249.0,-17.729322,-63.157434,230000.0,Barrio Santa Isabel.,Distrito 5,420.0,923.6947791164658
1204,8,4,2,290.0,-17.750322,-63.193792,230000.0,Barrio el Manchon,Distrito Municipal 1,295.98,793.1034482758621
1205,3,3,0,430.0,-17.753903,-63.188662,230000.0,Barrio el Manchon,Distrito Municipal 1,427.75,534.8837209302326
1206,8,4,0,360.0,-17.750526,-63.194131,255000.0,Barrio el Manchon,Distrito Municipal 1,295.98,708.3333333333334
1209,3,3,0,430.0,-17.79691,-63.175528,251436.78,Barrio Lindo,Distrito 11,577.86,584.7366976744186
1210,5,5,0,280.0,-17.738747,-63.182545,253232.76,Barrio Santa Isabel.,Distrito 5,312.0,904.4027142857143
1211,3,3,2,220.0,-17.739122,-63.17894,255000.0,Barrio Santa Isabel.,Distrito 5,240.0,1159.090909090909
